title,author,url,description,host_platform,language,image,dateAdded,id,status,link,timeAdded,contentHash,itunesId,source,dead,is_corporate
Silas Strong,Irving Bacheller,https://www.spreaker.com/show/7130009/episodes/feed,"Per the author: ""The book has one high ambition. It has tried to tell the sad story of the wilderness itself—to show, from the woodsman's view-point, the play of great forces which have been tearing down his home and turning it into the flesh and bone of cities."" But this story is much more than that. It revolves around Silas Strong and his distaste for the modernization and destruction of his beloved forest surroundings, and how it pleases him to teach younger folk how to appreciate that which has been given us. He takes matters into his own hands, as only Silas Strong can do. Addison Irving Bacheller was an American journalist and writer who founded the first modern newspaper syndicate in the United States. He was a graduate of St. Lawrence University in Canton, New York in 1882. - Summary from Book preface, Wikipedia, Roger Melin",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/84c20ec2e0ca0fa5d21391eafee4b296.jpg,2026-06-25 16:37:49,7928462,confirmed,https://www.spreaker.com/podcast/silas-strong--7130009,1782405469,014727df387e21bf6f654e9d73687a8b,,4,0,INDIVIDUAL
Echoes of the War,J. M. Barrie,https://www.spreaker.com/show/7130010/episodes/feed,"Short stories with dramatic parts about civilian life in London during the First World War. Some humorous moments. By the author of ""Peter Pan"". (Summary by JCarson)",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/4bf82278c6992e5af10a2bbf4d7ad75b.jpg,2026-06-25 16:37:49,7928461,confirmed,https://www.spreaker.com/podcast/echoes-of-the-war--7130010,1782405469,5653446b0a02495fcef152dfe16d2b5e,,4,0,INDIVIDUAL
Heart of Philura,Florence Morse Kingsley,https://www.spreaker.com/show/7129934/episodes/feed,"Once again Mrs Kingsley does not shy away from the highs and lows of life in the quickly changing world of the 1900s…the ageing women working to support themselves or their families, in jobs that will soon disappear...the washerwoman, butter-woman and the little dressmaker….the contrast between the socialite of Boston and the drudge in the kitchen….the old farmers and the independent, college-educated young people…and, with an acceptance of the realities of life we might think of as “modern”, the impact of an illegitimate child on the lives of its mother and her whole family. In her new role as the ministers wife, Miss Philura’s independent (dare one say rebellious?) spirit continues to blossom, while deep in her heart there is a secret longing waiting to be realised….The arrival of a mysterious new family in the village will have unexpected consequences for the lives of several people in Innesfield; fortunately the heart of Philura is big enough and brave enough to embrace it all. (Anne F ) Books in the series: 1 - The Transfiguration of Miss Philura 2 - Miss Philura's Wedding Gown 3 - The Heart of Philura 4 - Neighbors",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/4fdb96726b64e8504ec67634cfddf1cc.jpg,2026-06-25 16:36:29,7928457,confirmed,https://www.spreaker.com/podcast/heart-of-philura--7129934,1782405389,9b308ffb060c1e6e5b31caa84bc18787,,4,0,INDIVIDUAL
His Family,Ernest Poole,https://www.spreaker.com/show/7129920/episodes/feed,"The 1910s is historically considered the decade of greatest social change in history. It saw the advent and proliferation of the automobile, electricity, lighting, radio, telephone and cinema. Our present time of change is actually quite tame in comparison, though also breathless. His Family is a tale of a widowed father, working to manage this decade of change as it affects his family in New York City. His Family was the first winner of the Pulitzer Prize for literature in 1919. (Summary by JCarson)",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/99f76b9d49319f545afc0f358d557525.jpg,2026-06-25 16:36:28,7928456,confirmed,https://www.spreaker.com/podcast/his-family--7129920,1782405388,0f84c319a3a08bdd242dcffc8ba1b033,,4,0,INDIVIDUAL
Bones Unfiltered Podcast : Off The Beaten Path,Bones,https://rss.buzzsprout.com/2617270.rss,"<p>Bones Unfiltered Podcast :  Off The Beaten Path explores the full spectrum of life's complexities.  From personal growth and unexpected challenges to hidden passions and everyday wonders, we dive into the conversations that shape us all.  Every episode, a new path, a fresh perspective - come walk with us.</p>",Buzzsprout,en-us,https://storage.buzzsprout.com/71bswisnqlpul0qcn0tc4e27pb2r?.jpg,2026-06-25 16:36:07,7928452,confirmed,https://www.buzzsprout.com/2617270,1782405367,6efdf6ec3bbfe62fd34cfbe23ea0aa16,,4,0,INDIVIDUAL
Adrift in New York,"Horatio Alger, Jr.",https://www.spreaker.com/show/7129997/episodes/feed,"John Linden is a very wealthy man. The people who should inherit his property are his nephew, Curtis Waring, his niece Florence Linden, and his long lost son - if alive. John thinks it would be best if Florence and Curtis were married, and makes it a requirement if Florence wishes to have any of the property. A boy named Dodger was sent to steal one of the wills of John Linden so that Curtis would inherit all the property. But Florence prevents Dodger from stealing, and they become friends… To the shock of her uncle and cousin, she decides to leave her uncle's house with Dodger instead of marrying Curtis. And what then? Would she be able to get used to being poor? And will she be poor for ever? Adrift in New York? (Summary by Stav Nisser)",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/12074df2c03e703925a70070bfa5050f.jpg,2026-06-25 16:35:56,7928451,confirmed,https://www.spreaker.com/podcast/adrift-in-new-york--7129997,1782405356,1109c20de3eef6e9bdb3a0c55a4961d8,,4,0,INDIVIDUAL
Charles Rex,Ethel M. Dell,https://www.spreaker.com/show/7129923/episodes/feed,"Excerpt: ""Saltash was thoroughly cosmopolitan in his tastes; he liked amusement but he abhorred boredom. He was never really wicked unless he was bored. And then- que voulez vous? He did not guide the star of destiny."" On his last night in Valrosa, Saltash (Charles Rex) returns to his luxurious yacht to find a stowaway, a young woman disguised as a boy. She pleads to be kept by him in order to escape from her abuser. Although ill used by life she is still very pure and Saltash falls head over heels in love with her. She in turn adores him but he feels unworthy of her. Torn by a sense of duty and fairness he tries to marry her off to someone he believes would be a more suitable match. Romance and mystery, a delightful sprinkle of humour and wit, and wonderful characters make this an emotional read that you will not soon forget. - Summary by Celine Major",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/acc11720e40a8592be6597ed13430808.jpg,2026-06-25 16:35:41,7928449,confirmed,https://www.spreaker.com/podcast/charles-rex--7129923,1782405341,5f3310a9c166ba04c0940ff5ee692a71,,4,0,INDIVIDUAL
Flying Inn (Version 2),G. K. Chesterton,https://www.spreaker.com/show/7129947/episodes/feed,"Captain Patrick Dalroy and Humphrey Pump take to the road in a donkey cart with a cask of good rum, a giant round of cheese, and the signpost from his pub, The Flying Inn. Together, the two men extend good cheer to an increasingly restless populace as they attempt to evade Prohibition. (Summary by Victoria Bell)",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/8a2c3185419e3cffbc22de06d6454cdc.jpg,2026-06-25 16:35:16,7928448,confirmed,https://www.spreaker.com/podcast/flying-inn-version-2--7129947,1782405316,15f190e794f99d502190f7b8d5df3101,,4,0,INDIVIDUAL
"Love in a Mask, or Imprudence and Happiness",Honoré de Balzac,https://www.spreaker.com/show/7129996/episodes/feed,"Love in a Mask, or Imprudence and Happiness, is an entertaining short novel by Honoré de Balzac, unpublished in his lifetime. Beginning with a flirtatious conversation at a masked ball, Balzac introduces his two main characters, a beautiful wealthy young widow and a gallant cavalry officer, and demonstrates his creative genius with deft plot twists of hidden identity and romantic intrigue. The translation is by Alice M. Ivimy. --Lee Smalley",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/d3ee092b0dc0abed78fa642c992cabe1.jpg,2026-06-25 16:34:49,7928447,confirmed,https://www.spreaker.com/podcast/love-in-a-mask-or-imprudence-and-happiness--7129996,1782405289,307036b1a172f2dbb41a1ff3d271a482,,4,0,INDIVIDUAL
Green Overcoat,Hilaire Belloc,https://www.spreaker.com/show/7129995/episodes/feed,"This rollicking novel captures the minor moral dilemma of thin, shy, nervous, Professor Higginson, psychologist, as he comes under the eye of the enemy of his soul through an encounter with a green overcoat. The quixotic adventure that follows will bring the childlike reader laughter like rainfall. This is Belloc at his Chestertonian best! - Summary by Russ Hobbs",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/cfa0a07da2a3d6904d844e870d77b29e.jpg,2026-06-25 16:34:45,7928446,confirmed,https://www.spreaker.com/podcast/green-overcoat--7129995,1782405285,0e95b1afcb9e3c2267ed9702521d776b,,4,0,INDIVIDUAL
